ticker,annual_return,annual_volatility,sharpe_ratio,max_drawdown,log_avg_volume,skewness,kurtosis,recent_1y_return,data_points
MMM,0.054189414178074324,0.29527191182724616,0.18352376913446058,-0.540728121153005,15.274850422886631,1.4215694548241644,23.41345674122374,0.4616968507764785,1256
AOS,0.1439342889114068,0.3022025939440416,0.4762840948283154,-0.42684175234431604,13.943348503731213,0.3457369296852904,4.501929497642316,-0.16159001307469945,1256
ABT,0.10943725224964007,0.2615463295314241,0.4184239650608114,-0.33876755411103193,15.551192083574275,0.1479053161429976,6.689762525139415,0.04525334097895861,1256
ABBV,0.23345799832820813,0.24792816187228123,0.9416356599637628,-0.3404231963628097,15.727733703096556,-0.8918993109424288,10.945728185461347,0.17855735409821505,1256
ACN,0.17546369509293713,0.29442746196247715,0.595948808319038,-0.39687783259728837,14.653372865768866,0.307373996140097,5.624645783617751,0.020650552651230836,1256
ADBE,0.1433235762981384,0.38892460332064777,0.36851249592964347,-0.6002149800846833,14.94142681441392,-0.4181095068441873,8.351489030554031,-0.2527656620248163,1256
AMD,0.37775617062904576,0.5247644938173728,0.7198584795268399,-0.6544994295506877,17.971337506351972,0.162154757271534,2.1475619772484276,-0.16939149718725277,1256
AES,0.02141693289530089,0.40209924292475513,0.05326280333064104,-0.5656043982752855,15.673918414944195,-0.44688688832788587,6.442568781872623,-0.31583395569370276,1256
AFL,0.23101094908038156,0.32173723512924035,0.7180112335694858,-0.5244346413170434,14.893867941150276,0.8142508818681425,34.36201343475224,0.2750280113241068,1256
A,0.15051719349173198,0.2967938387149912,0.5071439290768851,-0.42734868769473305,14.374107608782861,0.02234851867090591,3.5907740941329935,-0.02824590653761483,1256
APD,0.12018652899062032,0.3025884255223786,0.39719473335152955,-0.31765682862288086,13.988631918195223,-0.5941001458811466,12.545478461558403,0.0758473109615625,1256
ABNB,0.1015312266115258,0.4899758510608599,0.20721679730071965,-0.6195812614973956,15.606072915720846,0.12582163569622304,2.198739856935751,-0.0318055079364421,1018
AKAM,0.0643530529208387,0.298417041509096,0.215648049439151,-0.4197014348543436,14.302545064692936,-0.7865020766573898,9.452681301358147,-0.1925644377638982,1256
ALB,0.2092665925551358,0.5356638884739848,0.39066772477663314,-0.7722363092227184,14.425179352886392,-0.29833175067990475,2.9766490523728333,-0.3945385134997951,1256
ARE,-0.017232461341859073,0.3144302372236972,-0.0548053568066969,-0.5619700392404814,13.779776741190933,-0.1170400843656552,9.278389612178364,-0.203189743373818,1256
ALGN,0.08492749950301604,0.542419698828786,0.1565715619959873,-0.7608230957933052,13.641253329374761,0.9865301933445548,16.945293796919383,-0.24605838747790265,1256
ALLE,0.07271289564873018,0.3078098286427791,0.23622668570832184,-0.43250097332772314,13.5137130409688,-0.1782195287606205,6.332212940024702,0.04888201667076064,1256
LNT,0.08719764571097288,0.25150872152208326,0.34669829810779207,-0.33538314793237894,14.202233261636863,0.002087005169168008,6.133805461303549,0.19922473320853995,1256
ALL,0.1922505106193808,0.29364118814203605,0.6547123441224739,-0.4139400763878272,14.42449000822465,-0.7414478087895914,8.4797075167775,0.4043262506466385,1256
GOOGL,0.2965593953597805,0.3250797109554291,0.9122667006445107,-0.44320050065097005,17.315211917414036,-0.05708289962162326,3.581963595583006,0.3739941964921454,1256
GOOG,0.2982878317961495,0.3239284647007507,0.9208447675992649,-0.44601853714774037,17.126835100117308,-0.06532381406220203,3.557901968364316,0.372187493245661,1256
MO,0.13149839438254385,0.2449497839803283,0.5368381724847913,-0.38770729073026006,16.018184367387292,-0.7334777520399014,8.250885108153067,0.401919134957079,1256
AMZN,0.2642336828339782,0.3597572135273063,0.7344777891824602,-0.5614526325328256,18.042543793491486,0.06948339635661352,3.9918627598692114,0.4564959819393144,1256
AMCR,0.06464960643131779,0.296159101313407,0.21829349881401441,-0.4536548085769287,14.310996828642756,0.0055962589517938345,15.619913008155915,0.018474834091740222,1256
AEE,0.1008934337529952,0.262431403437571,0.38445640434566525,-0.29086302931669455,14.198004254433432,0.06279379841081016,19.570193063068718,0.2815255579630962,1256
AEP,0.06620055872772612,0.2481901645170922,0.2667332078067383,-0.3290522403825089,14.92465179124654,-0.009431097327107061,9.739512747529677,0.17963406316288788,1256
AXP,0.2952796917630911,0.38564003959600696,0.7656873287131271,-0.4963851004342257,15.114623121378035,1.176269505959075,16.505126495882397,0.6061178713043083,1256
AIG,0.19315627375913014,0.4024268739927915,0.47997856565262603,-0.6508708657230535,15.40024513241609,-0.4435369076101307,12.023737082556673,0.0937466320783078,1256
AMT,0.02770086236160485,0.30608471393240794,0.09050063953119193,-0.45344210813715724,14.537494523634631,0.19716195526849392,7.401880815741226,-0.12877294963702268,1256
AWK,0.06511534846499623,0.2779061096509972,0.23430700586888867,-0.3710107054581596,13.809859634266468,0.24898609255229814,12.012893923726121,-0.037268511784874,1256
AMP,0.38451663536877256,0.3948110189143599,0.9739257947412548,-0.538838174141367,13.331966311525523,0.25770902950602187,20.375788412092703,0.4159380392726595,1256
AME,0.17731307524019435,0.27946157940732114,0.6344810460752346,-0.42719459624439954,13.90143480071314,-0.5383744664463093,19.346589497453184,0.10303282519106638,1256
AMGN,0.08346244173997253,0.2620726377358249,0.3184706440971703,-0.24859939173717083,14.815339045668722,0.6536988166076498,8.06610971226106,-0.07251234851351385,1256
APH,0.268414363120405,0.2838592302293759,0.9455896956512899,-0.37557768152310617,15.527020085202235,-0.6121772967124106,6.736175544879018,0.4140412678649683,1256
ADI,0.21549162096254526,0.3543611122715729,0.6081130617893484,-0.33619937075566,15.01796412507559,-0.02554664132069101,6.8980690071648105,0.08866712317490677,1256
AON,0.16508217855754115,0.26992207501284643,0.6115919883532475,-0.38727203302022717,14.030373522200216,-0.11839416688458936,15.617452090817697,0.24038365281883745,1256
APA,0.2923558180834678,0.6986179181234621,0.418477411614,-0.8793986624762462,15.946231698993616,-1.197900363934529,25.063378166094033,-0.35367901586668915,1256
APO,0.45077062250880284,0.42850390696078183,1.0519638565397234,-0.534794392111612,14.794435657266861,0.5697421486040735,12.361164350341774,0.8134574546389817,1256
AAPL,0.34900491952163226,0.3168909599323023,1.1013407248859055,-0.31427271693831477,18.32169935844454,0.1046755766343746,5.273350064610449,0.3163430951969888,1256
