ticker,cluster,annual_return,annual_volatility,sharpe_ratio,max_drawdown,log_avg_volume,skewness,kurtosis,recent_1y_return
MMM,2,0.0541894141780743,0.2952719118272461,0.1835237691344605,-0.540728121153005,15.274850422886631,1.4215694548241644,23.41345674122374,0.4616968507764785
AOS,2,0.1439342889114068,0.3022025939440416,0.4762840948283154,-0.426841752344316,13.943348503731212,0.3457369296852904,4.501929497642316,-0.1615900130746994
ABT,2,0.10943725224964,0.2615463295314241,0.4184239650608114,-0.3387675541110319,15.551192083574277,0.1479053161429976,6.689762525139415,0.0452533409789586
ABBV,2,0.2334579983282081,0.2479281618722812,0.9416356599637628,-0.3404231963628097,15.727733703096556,-0.8918993109424288,10.945728185461348,0.178557354098215
ACN,2,0.1754636950929371,0.2944274619624771,0.595948808319038,-0.3968778325972883,14.653372865768866,0.307373996140097,5.624645783617751,0.0206505526512308
ADBE,1,0.1433235762981384,0.3889246033206477,0.3685124959296434,-0.6002149800846833,14.94142681441392,-0.4181095068441873,8.351489030554031,-0.2527656620248163
AMD,1,0.3777561706290457,0.5247644938173728,0.7198584795268399,-0.6544994295506877,17.971337506351972,0.162154757271534,2.147561977248428,-0.1693914971872527
AES,1,0.0214169328953008,0.4020992429247551,0.053262803330641,-0.5656043982752855,15.673918414944197,-0.4468868883278858,6.442568781872623,-0.3158339556937027
AFL,2,0.2310109490803815,0.3217372351292403,0.7180112335694858,-0.5244346413170434,14.893867941150276,0.8142508818681425,34.36201343475224,0.2750280113241068
A,2,0.1505171934917319,0.2967938387149912,0.5071439290768851,-0.427348687694733,14.37410760878286,0.0223485186709059,3.590774094132993,-0.0282459065376148
APD,2,0.1201865289906203,0.3025884255223786,0.3971947333515295,-0.3176568286228808,13.988631918195225,-0.5941001458811466,12.545478461558403,0.0758473109615625
ABNB,1,0.1015312266115258,0.4899758510608599,0.2072167973007196,-0.6195812614973956,15.606072915720846,0.125821635696223,2.198739856935751,-0.0318055079364421
AKAM,2,0.0643530529208387,0.298417041509096,0.215648049439151,-0.4197014348543436,14.302545064692936,-0.7865020766573898,9.452681301358147,-0.1925644377638982
ALB,1,0.2092665925551358,0.5356638884739848,0.3906677247766331,-0.7722363092227184,14.425179352886392,-0.2983317506799047,2.9766490523728333,-0.3945385134997951
ARE,2,-0.017232461341859,0.3144302372236972,-0.0548053568066969,-0.5619700392404814,13.779776741190933,-0.1170400843656552,9.278389612178364,-0.203189743373818
ALGN,1,0.084927499503016,0.542419698828786,0.1565715619959873,-0.7608230957933052,13.64125332937476,0.9865301933445548,16.945293796919383,-0.2460583874779026
ALLE,2,0.0727128956487301,0.3078098286427791,0.2362266857083218,-0.4325009733277231,13.5137130409688,-0.1782195287606205,6.332212940024702,0.0488820166707606
LNT,2,0.0871976457109728,0.2515087215220832,0.346698298107792,-0.3353831479323789,14.202233261636865,0.002087005169168,6.133805461303549,0.1992247332085399
ALL,2,0.1922505106193808,0.293641188142036,0.6547123441224739,-0.4139400763878272,14.42449000822465,-0.7414478087895914,8.4797075167775,0.4043262506466385
GOOGL,0,0.2965593953597805,0.3250797109554291,0.9122667006445108,-0.44320050065097,17.315211917414036,-0.0570828996216232,3.581963595583006,0.3739941964921454
GOOG,0,0.2982878317961495,0.3239284647007507,0.9208447675992648,-0.4460185371477403,17.126835100117308,-0.065323814062202,3.557901968364316,0.372187493245661
MO,2,0.1314983943825438,0.2449497839803283,0.5368381724847913,-0.38770729073026,16.018184367387292,-0.7334777520399014,8.250885108153067,0.401919134957079
AMZN,1,0.2642336828339782,0.3597572135273063,0.7344777891824602,-0.5614526325328256,18.04254379349149,0.0694833963566135,3.9918627598692114,0.4564959819393144
AMCR,2,0.0646496064313177,0.296159101313407,0.2182934988140144,-0.4536548085769287,14.310996828642756,0.0055962589517938,15.619913008155915,0.0184748340917402
AEE,2,0.1008934337529952,0.262431403437571,0.3844564043456652,-0.2908630293166945,14.198004254433432,0.0627937984108101,19.57019306306872,0.2815255579630962
AEP,2,0.0662005587277261,0.2481901645170922,0.2667332078067383,-0.3290522403825089,14.92465179124654,-0.009431097327107,9.739512747529677,0.1796340631628878
AXP,0,0.2952796917630911,0.3856400395960069,0.7656873287131271,-0.4963851004342257,15.114623121378036,1.176269505959075,16.505126495882397,0.6061178713043083
AIG,1,0.1931562737591301,0.4024268739927915,0.479978565652626,-0.6508708657230535,15.40024513241609,-0.4435369076101307,12.023737082556671,0.0937466320783078
AMT,2,0.0277008623616048,0.3060847139324079,0.0905006395311919,-0.4534421081371572,14.537494523634631,0.1971619552684939,7.401880815741226,-0.1287729496370226
AWK,2,0.0651153484649962,0.2779061096509972,0.2343070058688886,-0.3710107054581596,13.809859634266468,0.2489860925522981,12.01289392372612,-0.037268511784874
AMP,0,0.3845166353687725,0.3948110189143599,0.9739257947412548,-0.538838174141367,13.331966311525523,0.2577090295060218,20.375788412092703,0.4159380392726595
AME,2,0.1773130752401943,0.2794615794073211,0.6344810460752346,-0.4271945962443995,13.90143480071314,-0.5383744664463093,19.346589497453184,0.1030328251910663
AMGN,2,0.0834624417399725,0.2620726377358249,0.3184706440971703,-0.2485993917371708,14.815339045668722,0.6536988166076498,8.06610971226106,-0.0725123485135138
